StockCode,Description,AvgPrice,PriceStd,MinPrice,MaxPrice,TotalQuantitySold,AvgQuantityPerOrder,TotalOrders,TotalRevenue,AvgRevenuePerOrder,UniqueCustomers,CountriesServed,PriceVariability,PopularityScore,RevenuePerCustomer,ProductCategory
21793,CLASSIC FRENCH STYLE BASKET BROWN,4.55,1.26,3.95,7.46,295,4.04,73,1257.55,17.23,57,2,0.27692307692307694,0.03354779411764706,22.062280701754386,Low_Performer
21794,CLASSIC FRENCH STYLE BASKET NATURAL,4.93,2.18,2.0,13.57,507,5.02,101,2132.67,21.12,75,4,0.44219066937119683,0.04641544117647059,28.4356,Low_Performer
21801,CHRISTMAS TREE DECORATION WITH BELL,0.44,0.15,0.42,2.08,1156,9.88,117,497.9,4.26,22,3,0.3409090909090909,0.05376838235294118,22.63181818181818,Low_Performer
21802,CHRISTMAS TREE HEART DECORATION,0.45,0.11,0.36,0.83,2032,11.55,176,881.26,5.01,44,2,0.24444444444444444,0.08088235294117647,20.028636363636362,Low_Performer
21803,CHRISTMAS TREE STAR DECORATION,0.46,0.16,0.42,2.08,2252,12.11,186,1006.8,5.41,45,3,0.34782608695652173,0.08547794117647059,22.37333333333333,Low_Performer
21804,WHITE CHRISTMAS GARLAND STARS TREES,3.68,0.95,2.08,7.62,311,4.57,68,997.71,14.67,37,2,0.25815217391304346,0.03125,26.965135135135135,Low_Performer
21807,WHITE CHRISTMAS STAR DECORATION,0.47,0.14,0.42,0.85,438,12.88,34,189.0,5.56,25,2,0.29787234042553196,0.015625,7.56,Low_Performer
21808,"CHRISTMAS GARLAND STARS,TREES",3.52,0.75,1.25,7.46,177,3.85,46,621.91,13.52,22,3,0.21306818181818182,0.021139705882352942,28.26863636363636,Low_Performer
21809,CHRISTMAS HANGING TREE WITH BELL,0.95,0.74,0.39,2.51,1902,16.68,114,1191.44,10.45,70,4,0.7789473684210526,0.05238970588235294,17.02057142857143,Low_Performer
21810,CHRISTMAS HANGING STAR WITH BELL,0.74,0.59,0.39,2.51,5735,22.49,255,2916.73,11.44,127,5,0.7972972972972973,0.1171875,22.966377952755906,Low_Performer
21811,CHRISTMAS HANGING HEART WITH BELL,1.01,0.79,0.39,2.51,4631,18.98,244,2596.49,10.64,114,4,0.7821782178217822,0.11213235294117647,22.776228070175435,Low_Performer
21812,GARLAND WITH HEARTS AND BELLS,5.16,2.36,3.29,10.17,379,4.08,93,1685.21,18.12,36,3,0.4573643410852713,0.042738970588235295,46.81138888888889,Low_Performer
21813,GARLAND WITH STARS AND BELLS,4.73,2.15,3.29,10.17,508,4.7,108,2145.58,19.87,39,3,0.4545454545454545,0.04963235294117647,55.014871794871794,Low_Performer
21814,HEART T-LIGHT HOLDER,1.75,0.62,1.45,2.98,70,4.67,15,105.97,7.06,11,2,0.35428571428571426,0.006893382352941176,9.633636363636363,Low_Performer
21815,STAR T-LIGHT HOLDER,1.97,0.73,1.45,2.98,155,5.34,29,261.29,9.01,16,2,0.37055837563451777,0.01332720588235294,16.330625,Low_Performer
21816,CHRISTMAS TREE T-LIGHT HOLDER,1.45,0.0,1.45,1.45,33,4.12,8,47.85,5.98,6,1,0.0,0.003676470588235294,7.9750000000000005,Low_Performer
21817,GLITTER CHRISTMAS TREE,0.57,0.32,0.39,1.66,881,15.19,58,396.56,6.84,48,3,0.5614035087719299,0.02665441176470588,8.261666666666667,Low_Performer
21818,GLITTER CHRISTMAS HEART,0.6,0.38,0.39,1.66,2552,14.92,171,1236.76,7.23,114,3,0.6333333333333334,0.07858455882352941,10.848771929824562,Low_Performer
21819,GLITTER CHRISTMAS STAR,0.54,0.32,0.39,1.66,2365,18.77,126,1000.51,7.94,90,5,0.5925925925925926,0.057904411764705885,11.116777777777777,Low_Performer
21820,GLITTER HEART GARLAND WITH BELLS,5.0,1.79,3.39,7.62,321,3.61,89,1330.89,14.95,49,4,0.358,0.04090073529411765,27.161020408163267,Low_Performer
21821,GLITTER STAR GARLAND WITH BELLS,5.08,1.84,3.39,7.62,219,3.65,60,918.27,15.3,35,4,0.36220472440944884,0.027573529411764705,26.236285714285714,Low_Performer
21822,GLITTER CHRISTMAS TREE WITH BELLS,1.33,0.8,0.79,4.21,680,6.87,99,695.0,7.02,46,4,0.6015037593984962,0.04549632352941176,15.108695652173912,Low_Performer
21823,PAINTED METAL HEART WITH HOLLY BELL,0.97,0.74,0.39,2.98,1357,13.17,103,865.4,8.4,61,4,0.7628865979381444,0.04733455882352941,14.186885245901639,Low_Performer
21824,PAINTED METAL STAR WITH HOLLY BELLS,0.75,0.55,0.39,2.98,1865,16.22,115,1078.44,9.38,61,4,0.7333333333333334,0.05284926470588235,17.679344262295082,Low_Performer
21826,EIGHT PIECE DINOSAUR SET,1.73,0.61,1.25,2.51,112,3.11,36,170.59,4.74,17,2,0.35260115606936415,0.016544117647058824,10.034705882352942,Low_Performer
21827,EIGHT PIECE CREEPY CRAWLIE SET,1.25,0.0,1.25,1.25,2,1.0,2,2.5,1.25,2,1,0.0,0.0009191176470588235,1.25,Low_Performer
21828,EIGHT PIECE SNAKE SET,1.47,0.48,1.25,2.51,327,3.99,82,430.83,5.25,52,4,0.32653061224489793,0.03768382352941176,8.285192307692308,Low_Performer
21829,DINOSAUR KEYRINGS ASSORTED,0.27,0.17,0.18,2.08,6408,38.14,168,1407.56,8.38,98,10,0.6296296296296297,0.07720588235294118,14.362857142857143,Low_Performer
21830,ASSORTED CREEPY CRAWLIES,0.5,0.26,0.42,2.08,2907,29.66,98,1943.45,19.83,62,4,0.52,0.04503676470588235,31.345967741935485,Low_Performer
21832,CHOCOLATE CALCULATOR,2.37,0.82,1.65,3.36,889,4.68,190,1679.5,8.84,80,9,0.34599156118143454,0.08731617647058823,20.99375,Low_Performer
21833,CAMOUFLAGE LED TORCH,2.11,0.72,1.49,3.36,2646,16.23,163,4455.89,27.34,87,5,0.3412322274881517,0.07490808823529412,51.21712643678161,Low_Performer
21836,GINGHAM OVEN GLOVE RED HEART,5.04,2.23,3.75,7.62,5,1.67,3,26.49,8.83,3,1,0.44246031746031744,0.0013786764705882354,8.83,Low_Performer
21839,MUMMY MOUSE RED GINGHAM RIBBON,5.45,,5.45,5.45,1,1.0,1,5.45,5.45,1,1,,0.00045955882352941176,5.45,Low_Performer
21841,BABY MOUSE RED GINGHAM DRESS,4.06,0.63,2.08,4.25,152,6.61,23,470.23,20.44,19,2,0.15517241379310345,0.010569852941176471,24.748947368421053,Low_Performer
21843,RED RETROSPOT CAKE STAND,12.59,3.86,4.0,21.23,1936,3.74,517,20496.9,39.65,255,15,0.30659253375694995,0.23759191176470587,80.38000000000001,Low_Performer
21844,RED RETROSPOT MUG,3.32,1.03,2.55,5.91,1829,11.88,154,5114.59,33.21,97,10,0.3102409638554217,0.07077205882352941,52.72773195876289,Low_Performer
21845,DAIRY MAID STRIPE MUG,1.09,0.76,0.79,2.95,1822,23.36,78,1590.58,20.39,60,4,0.6972477064220183,0.035845588235294115,26.509666666666664,Low_Performer
21846,PINK DIAMANTE PEN IN GIFT BOX,4.07,2.23,1.63,8.29,419,4.23,99,1184.39,11.96,13,3,0.5479115479115478,0.04549632352941176,91.10692307692308,Low_Performer
21847,GREEN DIAMANTE PEN IN GIFT BOX,2.75,1.64,1.63,8.29,76,2.3,33,178.89,5.42,6,2,0.5963636363636363,0.015165441176470588,29.814999999999998,Low_Performer
21849,SILVER DIAMANTE PEN IN GIFT BOX,3.83,1.91,1.63,8.29,170,2.58,66,544.77,8.25,17,2,0.49869451697127937,0.030330882352941176,32.04529411764706,Low_Performer
21850,BLUE DIAMANTE PEN IN GIFT BOX,4.37,2.04,1.63,8.29,123,2.46,50,469.21,9.38,13,1,0.4668192219679634,0.02297794117647059,36.09307692307692,Low_Performer
21851,LILAC DIAMANTE PEN IN GIFT BOX,4.14,2.0,1.63,8.29,135,2.21,61,427.51,7.01,12,3,0.48309178743961356,0.02803308823529412,35.62583333333333,Low_Performer
21864,UNION JACK FLAG PASSPORT COVER,2.84,1.04,1.63,4.21,822,4.54,181,2019.33,11.16,66,4,0.36619718309859156,0.08318014705882353,30.59590909090909,Low_Performer
21865,PINK UNION JACK PASSPORT COVER,2.59,1.05,0.83,4.21,253,2.5,101,580.37,5.75,51,3,0.40540540540540543,0.04641544117647059,11.379803921568628,Low_Performer
21866,UNION JACK FLAG LUGGAGE TAG,1.96,0.91,0.83,3.36,743,3.89,191,1283.3,6.72,77,5,0.4642857142857143,0.08777573529411764,16.666233766233766,Low_Performer
21867,PINK UNION JACK LUGGAGE TAG,1.57,0.58,0.83,2.51,347,2.69,129,477.79,3.7,57,3,0.36942675159235666,0.059283088235294115,8.382280701754386,Low_Performer
21868,POTTING SHED TEA MUG,1.75,0.86,1.06,3.36,2527,8.6,294,3445.95,11.72,148,5,0.49142857142857144,0.13511029411764705,23.283445945945946,Low_Performer
21870,I CAN ONLY PLEASE ONE PERSON MUG,1.58,0.76,1.06,3.36,1364,8.58,159,1795.67,11.29,95,5,0.4810126582278481,0.07306985294117647,18.90178947368421,Low_Performer
21871,SAVE THE PLANET MUG,1.82,0.85,0.8,3.36,5368,15.29,351,6557.06,18.68,131,7,0.467032967032967,0.16130514705882354,50.053893129771,Low_Performer
21872,GLAMOROUS MUG,1.68,0.85,0.8,3.36,1279,9.4,136,1436.69,10.56,79,6,0.5059523809523809,0.0625,18.185949367088607,Low_Performer
21873,IF YOU CAN'T STAND THE HEAT MUG,1.59,0.85,0.42,3.36,1580,14.23,111,1782.72,16.06,61,5,0.5345911949685535,0.051011029411764705,29.224918032786885,Low_Performer
21874,GIN AND TONIC MUG,2.0,0.94,0.95,3.36,2953,10.29,287,4103.13,14.3,109,8,0.47,0.13189338235294118,37.64339449541284,Low_Performer
21875,KINGS CHOICE MUG,1.82,0.93,1.06,3.36,2034,14.32,142,2397.01,16.88,81,4,0.510989010989011,0.06525735294117647,29.59271604938272,Low_Performer
21876,POTTERING MUG,2.1,0.99,0.42,3.36,3682,11.47,321,4692.3,14.62,135,5,0.4714285714285714,0.14751838235294118,34.75777777777778,Low_Performer
21877,HOME SWEET HOME MUG,1.71,0.78,1.06,3.36,5210,15.6,334,6646.17,19.9,172,10,0.456140350877193,0.15349264705882354,38.64052325581395,Low_Performer
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,1.1,0.37,0.72,1.66,2453,11.25,218,2111.14,9.68,116,6,0.3363636363636363,0.10018382352941177,18.19948275862069,Low_Performer
21879,HEARTS GIFT TAPE,0.6,0.43,0.19,1.66,1008,11.2,90,344.58,3.83,49,4,0.7166666666666667,0.04136029411764706,7.032244897959183,Low_Performer
21880,RED RETROSPOT TAPE,0.48,0.17,0.19,1.66,1787,7.94,225,801.55,3.56,80,8,0.3541666666666667,0.10340073529411764,10.019375,Low_Performer
21881,CUTE CATS TAPE,0.68,0.46,0.19,1.63,1090,13.97,78,375.31,4.81,37,6,0.676470588235294,0.035845588235294115,10.143513513513513,Low_Performer
21882,SKULLS TAPE,0.64,0.42,0.19,1.66,681,9.87,69,238.06,3.45,35,4,0.65625,0.03170955882352941,6.801714285714286,Low_Performer
21883,STARS GIFT TAPE,0.64,0.39,0.19,1.66,1576,12.51,126,689.8,5.47,79,6,0.609375,0.057904411764705885,8.731645569620252,Low_Performer
21884,CAKES AND BOWS GIFT TAPE,0.76,0.53,0.19,1.66,861,9.78,88,347.24,3.95,42,5,0.6973684210526316,0.04044117647058824,8.267619047619048,Low_Performer
21888,BINGO SET,4.71,1.66,2.08,7.62,1641,4.42,371,6468.66,17.44,209,12,0.3524416135881104,0.17049632352941177,30.950526315789475,Low_Performer
21889,WOODEN BOX OF DOMINOES,1.57,0.61,1.06,3.36,6208,10.72,579,8605.53,14.86,328,12,0.3885350318471337,0.26608455882352944,26.236371951219514,Low_Performer
21890,S/6 WOODEN SKITTLES IN COTTON BAG,3.82,1.17,2.26,5.91,1137,4.97,229,3628.07,15.84,143,8,0.306282722513089,0.1052389705882353,25.371118881118882,Low_Performer
21891,TRADITIONAL WOODEN SKIPPING ROPE,1.59,0.43,1.02,2.51,8011,19.12,419,10336.09,24.67,259,13,0.27044025157232704,0.19255514705882354,39.9076833976834,Low_Performer
21892,TRADITIONAL WOODEN CATCH CUP GAME,1.61,0.56,1.06,2.51,3018,7.66,394,4071.83,10.33,223,9,0.34782608695652173,0.18106617647058823,18.25932735426009,Low_Performer
21894,POTTING SHED SEED ENVELOPES,1.81,0.61,1.25,2.51,584,4.67,125,883.41,7.07,58,4,0.33701657458563533,0.05744485294117647,15.231206896551724,Low_Performer
21895,POTTING SHED SOW 'N' GROW SET,6.36,2.98,4.25,8.47,2,1.0,2,12.72,6.36,2,1,0.4685534591194968,0.0009191176470588235,6.36,Low_Performer
21896,POTTING SHED TWINE,2.4,0.72,1.85,4.21,963,9.17,105,2232.87,21.27,78,5,0.3,0.04825367647058824,28.62653846153846,Low_Performer
21897,POTTING SHED CANDLE CITRONELLA,2.61,0.57,2.08,3.21,462,154.0,3,1375.62,458.54,2,1,0.21839080459770113,0.0013786764705882354,687.81,Low_Performer
21898,POTTING SHED ROSE CANDLE,2.57,0.29,2.08,3.21,556,22.24,25,1670.03,66.8,6,2,0.11284046692607004,0.011488970588235295,278.3383333333333,Low_Performer
21899,"KEY FOB , GARAGE DESIGN",0.88,0.43,0.53,2.08,2557,9.44,271,1676.63,6.19,143,4,0.48863636363636365,0.12454044117647059,11.724685314685315,Low_Performer
21900,"KEY FOB , SHED",0.94,0.45,0.53,2.08,3141,8.75,359,2130.23,5.93,164,5,0.4787234042553192,0.16498161764705882,12.989207317073172,Low_Performer
21901,"KEY FOB , BACK DOOR",0.89,0.43,0.53,2.08,1763,5.8,304,1233.15,4.06,141,3,0.4831460674157303,0.13970588235294118,8.745744680851065,Low_Performer
21902,"KEY FOB , FRONT DOOR",0.89,0.42,0.53,1.66,1368,6.71,204,943.43,4.62,112,4,0.47191011235955055,0.09375,8.423482142857143,Low_Performer
21903,MAN FLU METAL SIGN,2.5,0.83,1.85,4.21,1144,6.5,176,2454.42,13.95,114,5,0.33199999999999996,0.08088235294117647,21.53,Low_Performer
21904,HOUSE WRECKING METAL SIGN,2.1,0.0,2.08,2.1,54,2.08,26,113.34,4.36,22,2,0.0,0.011948529411764705,5.151818181818182,Low_Performer
21905,MORE BUTTER METAL SIGN,1.4,0.59,0.79,4.13,734,4.77,154,789.01,5.12,83,5,0.42142857142857143,0.07077205882352941,9.506144578313252,Low_Performer
21906,PHARMACIE FIRST AID TIN,9.76,3.31,5.95,13.57,474,2.89,164,3786.68,23.09,68,13,0.3391393442622951,0.07536764705882353,55.686470588235295,Low_Performer
21907,I'M ON HOLIDAY METAL SIGN,2.29,0.61,1.85,4.21,2317,6.47,358,4909.64,13.71,205,8,0.2663755458515284,0.1645220588235294,23.94946341463415,Low_Performer
21908,CHOCOLATE THIS WAY METAL SIGN,2.54,0.85,1.49,4.21,3107,6.9,450,6633.75,14.74,214,10,0.33464566929133854,0.20680147058823528,30.998831775700936,Low_Performer
21910,WAY OUT METAL SIGN,1.65,0.0,1.65,1.65,23,3.83,6,37.95,6.32,6,2,0.0,0.0027573529411764708,6.325,Low_Performer
21911,GARDEN METAL SIGN,2.17,0.76,1.65,3.36,116,3.74,31,207.37,6.69,19,2,0.3502304147465438,0.014246323529411764,10.91421052631579,Low_Performer
21912,VINTAGE SNAKES & LADDERS,4.94,1.78,2.08,7.62,1716,4.48,383,6770.73,17.68,194,10,0.36032388663967607,0.17601102941176472,34.90067010309278,Low_Performer
21913,VINTAGE SEASIDE JIGSAW PUZZLES,4.27,1.45,3.29,7.62,388,2.77,140,1509.46,10.78,71,5,0.33957845433255274,0.06433823529411764,21.26,Low_Performer
21914,BLUE HARMONICA IN BOX,1.43,0.44,1.06,2.95,7448,12.58,592,9832.26,16.61,301,13,0.3076923076923077,0.27205882352941174,32.66531561461794,Low_Performer
21915,RED HARMONICA IN BOX,1.42,0.44,0.98,2.95,21900,33.95,645,26446.43,41.0,344,17,0.3098591549295775,0.29641544117647056,76.87915697674418,Low_Performer
21916,SET 12 RETRO WHITE CHALK STICKS,0.55,0.19,0.36,1.0,4413,12.75,346,1893.05,5.47,148,6,0.3454545454545454,0.15900735294117646,12.790878378378379,Low_Performer
21917,SET 12 KIDS WHITE CHALK STICKS,0.5,0.16,0.36,0.85,3711,17.42,213,1534.0,7.2,124,10,0.32,0.0978860294117647,12.370967741935484,Low_Performer
21918,SET 12 KIDS COLOUR CHALK STICKS,0.52,0.2,0.36,2.08,6794,18.87,360,2795.11,7.76,189,16,0.38461538461538464,0.16544117647058823,14.7889417989418,Low_Performer
21922,UNION STRIPE WITH FRINGE HAMMOCK,9.03,3.24,2.08,16.98,863,4.4,196,6631.15,33.83,109,7,0.35880398671096353,0.0900735294117647,60.83623853211009,Low_Performer
21925,UNION STRIPE CUSHION COVER,1.25,0.0,1.25,1.25,381,5.95,64,476.25,7.44,37,3,0.0,0.029411764705882353,12.871621621621621,Low_Performer
21926,RED/CREAM STRIPE CUSHION COVER,1.25,0.02,1.06,1.25,410,7.07,58,504.9,8.71,35,3,0.016,0.02665441176470588,14.425714285714285,Low_Performer
21927,BLUE/CREAM STRIPE CUSHION COVER,1.26,0.09,1.06,2.08,614,6.33,97,766.54,7.9,41,4,0.07142857142857142,0.04457720588235294,18.69609756097561,Low_Performer
21928,JUMBO BAG SCANDINAVIAN PAISLEY,2.69,1.01,1.65,5.06,10016,12.86,779,20211.32,25.95,262,11,0.3754646840148699,0.35799632352941174,77.1424427480916,Low_Performer
21929,JUMBO BAG PINK VINTAGE PAISLEY,2.67,1.04,1.65,5.06,10674,12.77,836,22482.5,26.89,303,13,0.3895131086142322,0.38419117647058826,74.1996699669967,Low_Performer
21930,JUMBO STORAGE BAG SKULLS,2.78,1.14,1.65,4.96,6282,9.25,679,13632.4,20.08,211,7,0.41007194244604317,0.31204044117647056,64.6085308056872,Low_Performer
21931,JUMBO STORAGE BAG SUKI,2.76,1.02,1.65,5.06,12889,11.33,1138,29151.73,25.62,326,14,0.3695652173913044,0.5229779411764706,89.42248466257668,Low_Performer
21932,SCANDINAVIAN PAISLEY PICNIC BAG,2.07,0.67,1.65,5.91,2596,5.97,435,4716.39,10.84,215,12,0.3236714975845411,0.19990808823529413,21.936697674418607,Low_Performer
21933,PINK VINTAGE PAISLEY PICNIC BAG,2.06,0.6,1.65,5.91,2579,6.4,403,4779.08,11.86,198,11,0.2912621359223301,0.18520220588235295,24.136767676767676,Low_Performer
21934,SKULL SHOULDER BAG,2.14,0.78,1.45,4.21,2333,5.85,399,4323.79,10.84,83,8,0.3644859813084112,0.18336397058823528,52.09385542168675,Low_Performer
21935,SUKI SHOULDER BAG,2.33,1.04,1.45,4.21,3336,6.44,518,6184.9,11.94,119,12,0.44635193133047213,0.23805147058823528,51.97394957983193,Low_Performer
21936,RED RETROSPOT PICNIC BAG,3.69,1.28,2.55,5.91,3869,7.59,510,11314.23,22.18,220,16,0.34688346883468835,0.234375,51.42831818181818,Low_Performer
21937,STRAWBERRY PICNIC BAG,3.4,1.09,2.08,5.91,1644,6.71,245,4696.22,19.17,142,12,0.3205882352941177,0.11259191176470588,33.071971830985916,Low_Performer
21942,SKULLS DESIGN FLANNEL,1.33,0.4,0.39,1.66,277,2.83,98,301.48,3.08,15,2,0.3007518796992481,0.04503676470588235,20.098666666666666,Low_Performer
21943,CAKES AND RABBITS DESIGN FLANNEL,1.29,0.4,0.83,1.66,118,2.41,49,133.66,2.73,8,2,0.31007751937984496,0.022518382352941176,16.7075,Low_Performer
21944,KITTENS DESIGN FLANNEL,1.19,0.44,0.39,1.66,312,3.18,98,288.16,2.94,23,4,0.3697478991596639,0.04503676470588235,12.528695652173914,Low_Performer
21945,STRAWBERRIES DESIGN FLANNEL,1.31,0.4,0.39,1.66,340,3.4,100,354.08,3.54,27,4,0.3053435114503817,0.04595588235294118,13.114074074074074,Low_Performer
21946,PARTY TIME DESIGN FLANNEL,1.01,0.37,0.39,1.66,86,3.44,25,75.35,3.01,9,2,0.36633663366336633,0.011488970588235295,8.372222222222222,Low_Performer
21947,SET OF 6 HEART CHOPSTICKS,1.71,0.59,1.06,2.51,794,5.22,152,1117.19,7.35,61,9,0.34502923976608185,0.06985294117647059,18.314590163934426,Low_Performer
21948,SET OF 6 CAKE CHOPSTICKS,1.91,0.61,1.25,2.51,610,4.21,145,917.53,6.33,37,5,0.3193717277486911,0.0666360294117647,24.798108108108107,Low_Performer
21949,SET OF 6 STRAWBERRY CHOPSTICKS,1.8,0.61,1.06,2.51,795,5.6,142,1044.52,7.36,47,6,0.33888888888888885,0.06525735294117647,22.223829787234042,Low_Performer
21955,DOORMAT UNION JACK GUNS AND ROSES,9.18,2.68,4.58,16.98,914,4.59,199,6082.87,30.57,105,6,0.2919389978213508,0.09145220588235294,57.932095238095236,Low_Performer
21967,PACK OF 12 SKULL TISSUES,0.44,0.22,0.25,0.85,5161,23.04,224,1543.69,6.89,128,11,0.5,0.10294117647058823,12.060078125,Low_Performer
21972,SET OF 36 DINOSAUR PAPER DOILIES,1.71,0.59,1.25,3.83,309,5.07,61,461.78,7.57,34,7,0.34502923976608185,0.02803308823529412,13.581764705882351,Low_Performer
21973,SET OF 36 MUSHROOM PAPER DOILIES,1.47,0.12,1.45,2.08,297,9.9,30,518.85,17.3,25,7,0.08163265306122448,0.013786764705882353,20.754,Low_Performer
21974,SET OF 36 PAISLEY FLOWER DOILIES,2.15,0.92,1.25,3.75,2096,6.24,336,3341.7,9.95,168,11,0.4279069767441861,0.15441176470588236,19.89107142857143,Low_Performer
21975,PACK OF 60 DINOSAUR CAKE CASES,0.63,0.23,0.4,1.28,11164,18.73,596,5608.21,9.41,278,19,0.3650793650793651,0.27389705882352944,20.17341726618705,Low_Performer
21976,PACK OF 60 MUSHROOM CAKE CASES,0.84,0.52,0.42,2.13,4840,12.8,378,2677.77,7.08,178,20,0.6190476190476191,0.17371323529411764,15.04365168539326,Low_Performer
21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.74,0.4,0.4,2.13,24399,28.81,847,11987.44,14.15,406,19,0.5405405405405406,0.38924632352941174,29.525714285714287,Low_Performer
21980,PACK OF 12 RED RETROSPOT TISSUES,0.41,0.2,0.25,1.0,6394,22.59,283,2031.23,7.18,184,12,0.48780487804878053,0.13005514705882354,11.03929347826087,Low_Performer
21981,PACK OF 12 WOODLAND TISSUES,0.48,0.24,0.21,0.85,5330,20.42,261,1597.66,6.12,141,13,0.5,0.11994485294117647,11.330921985815603,Low_Performer
21982,PACK OF 12 SUKI TISSUES,0.47,0.24,0.2,1.0,7104,19.79,359,2192.7,6.11,182,10,0.5106382978723404,0.16498161764705882,12.047802197802197,Low_Performer
21983,PACK OF 12 BLUE PAISLEY TISSUES,0.45,0.23,0.29,0.85,2215,14.87,149,749.13,5.03,93,7,0.5111111111111111,0.06847426470588236,8.05516129032258,Low_Performer
21984,PACK OF 12 PINK PAISLEY TISSUES,0.47,0.23,0.25,0.85,3310,16.31,203,1064.34,5.24,118,11,0.4893617021276596,0.09329044117647059,9.019830508474575,Low_Performer
21985,PACK OF 12 HEARTS DESIGN TISSUES,0.42,0.21,0.22,0.85,7952,19.21,414,2477.14,5.98,255,8,0.5,0.19025735294117646,9.714274509803921,Low_Performer
21986,PACK OF 12 PINK POLKADOT TISSUES,0.43,0.21,0.22,0.85,3975,21.6,184,1171.05,6.36,116,8,0.4883720930232558,0.08455882352941177,10.095258620689656,Low_Performer
21987,PACK OF 6 SKULL PAPER CUPS,0.77,0.33,0.53,1.63,2104,12.09,174,1340.8,7.71,105,11,0.4285714285714286,0.07996323529411764,12.76952380952381,Low_Performer
21988,PACK OF 6 SKULL PAPER PLATES,1.01,0.33,0.64,1.66,2275,12.1,188,1818.19,9.67,99,10,0.32673267326732675,0.08639705882352941,18.365555555555556,Low_Performer
21989,PACK OF 20 SKULL PAPER NAPKINS,1.15,0.4,0.64,2.51,2336,7.12,328,2158.57,6.58,128,12,0.3478260869565218,0.15073529411764705,16.863828125,Low_Performer
21990,MODERN FLORAL STATIONERY SET,2.0,0.63,1.25,2.95,1592,4.48,355,2738.44,7.71,123,8,0.315,0.16314338235294118,22.263739837398376,Low_Performer
21991,BOHEMIAN COLLAGE STATIONERY SET,2.0,0.62,1.25,2.95,628,3.0,209,1063.45,5.09,81,3,0.31,0.09604779411764706,13.129012345679014,Low_Performer
21992,VINTAGE PAISLEY STATIONERY SET,2.08,0.75,1.25,5.91,1779,4.27,417,3307.33,7.93,152,10,0.3605769230769231,0.19163602941176472,21.75875,Low_Performer
21993,FLORAL FOLK STATIONERY SET,2.02,0.66,1.25,5.91,1869,4.61,405,3230.59,7.98,148,10,0.32673267326732675,0.18612132352941177,21.828310810810812,Low_Performer
22016,DOTCOMGIFTSHOP GIFT VOUCHER £100.00,83.33,,83.33,83.33,1,1.0,1,83.33,83.33,1,1,,0.00045955882352941176,83.33,Low_Performer
22021,BLUE FELT EASTER EGG BASKET,1.75,0.39,1.65,3.29,342,5.03,68,572.5,8.42,58,4,0.22285714285714286,0.03125,9.870689655172415,Low_Performer
22023,EMPIRE BIRTHDAY CARD,0.6,0.21,0.42,0.85,1144,8.11,141,511.86,3.63,67,5,0.35,0.06479779411764706,7.639701492537314,Low_Performer
22024,RAINY LADIES BIRTHDAY CARD,0.59,0.21,0.36,0.85,2365,11.37,208,1004.46,4.83,90,8,0.3559322033898305,0.09558823529411764,11.160666666666668,Low_Performer
22025,RING OF ROSES BIRTHDAY CARD,0.55,0.2,0.36,0.85,1834,14.11,130,760.22,5.85,74,6,0.36363636363636365,0.05974264705882353,10.273243243243243,Low_Performer
22026,BANQUET BIRTHDAY CARD,0.57,0.2,0.36,0.85,1563,10.28,152,674.33,4.44,71,6,0.3508771929824562,0.06985294117647059,9.497605633802818,Low_Performer
22027,TEA PARTY BIRTHDAY CARD,0.54,0.19,0.36,1.0,4198,12.06,348,1801.47,5.18,172,14,0.35185185185185186,0.15992647058823528,10.473662790697675,Low_Performer
22028,PENNY FARTHING BIRTHDAY CARD,0.55,0.19,0.36,0.85,3017,11.6,260,1293.23,4.97,124,12,0.3454545454545454,0.11948529411764706,10.429274193548387,Low_Performer
22029,SPACEBOY BIRTHDAY CARD,0.52,0.18,0.36,1.0,7838,15.43,508,3256.04,6.41,229,14,0.34615384615384615,0.23345588235294118,14.218515283842795,Low_Performer
22030,SWALLOWS GREETING CARD,0.46,0.13,0.36,0.83,5380,20.46,263,2174.92,8.27,171,6,0.2826086956521739,0.1208639705882353,12.718830409356725,Low_Performer
22031,BOTANICAL LAVENDER BIRTHDAY CARD,0.51,0.17,0.42,0.85,477,6.28,76,213.02,2.8,27,3,0.33333333333333337,0.034926470588235295,7.88962962962963,Low_Performer
22032,BOTANICAL LILY GREETING CARD,0.45,0.11,0.42,0.83,395,7.05,56,168.54,3.01,27,5,0.24444444444444444,0.025735294117647058,6.242222222222222,Low_Performer
22033,BOTANICAL ROSE GREETING CARD,0.44,0.09,0.42,0.83,337,15.32,22,141.95,6.45,21,2,0.20454545454545453,0.01011029411764706,6.759523809523809,Low_Performer
22034,ROBIN CHRISTMAS CARD,0.92,0.68,0.42,2.08,22,4.4,5,29.98,6.0,2,1,0.7391304347826088,0.002297794117647059,14.99,Low_Performer
22035,VINTAGE CARAVAN GREETING CARD,0.61,0.3,0.36,2.08,1476,10.77,137,689.64,5.03,66,6,0.4918032786885246,0.06295955882352941,10.44909090909091,Low_Performer
22037,ROBOT BIRTHDAY CARD,0.53,0.18,0.36,0.85,3732,10.91,342,1614.85,4.72,170,11,0.33962264150943394,0.15716911764705882,9.499117647058823,Low_Performer
